payment_id,payment_date,order_id,amount,payment_method,payment_status
1,2025-07-16,1946,2610.94,Bank Transfer,Refunded
2,2024-08-30,4756,9001.54,Wallet,Success
3,2025-09-30,5173,5379.1,Wallet,Success
4,2025-09-14,7875,7750.32,COD,Failed
5,2024-12-31,848,7419.72,Bank Transfer,Refunded
6,2024-11-05,13961,5516.24,COD,Failed
7,2023-10-06,1034,1937.34,Card,Failed
8,2025-10-09,6614,1339.15,Bank Transfer,Failed
9,2025-02-22,17618,666.98,Card,Success
10,2024-06-09,2625,5977.32,Card,Failed
11,2025-10-19,4476,4394.91,Bank Transfer,Success
12,2025-03-04,16644,7122.08,Card,Success
13,2023-09-29,15611,6697.0,Card,Failed
14,2022-12-19,2702,1931.77,Wallet,Success
15,2024-01-03,4511,963.71,COD,Failed
16,2025-04-27,15298,7964.58,COD,Refunded
17,2023-07-23,19336,275.73,Wallet,Failed
18,2023-07-30,3302,8337.4,COD,Success
19,2025-09-16,3307,9576.49,Bank Transfer,Failed
20,2023-11-10,10799,4190.84,COD,Success
21,2025-06-01,6347,3432.38,Bank Transfer,Failed
22,2023-09-16,7446,8277.78,Bank Transfer,Failed
23,2023-03-07,9826,6557.77,Bank Transfer,Failed
24,2024-06-02,17275,5076.59,COD,Refunded
25,2023-11-30,12768,4460.48,Card,Refunded
26,2024-05-19,5070,1431.71,COD,Success
27,2025-04-29,5935,4914.81,Card,Success
28,2024-09-11,2293,9225.21,COD,Failed
29,2023-12-28,5628,8872.39,Card,Failed
30,2024-03-15,4620,1836.3,Wallet,Refunded
31,2023-01-04,6334,1659.19,Wallet,Success
32,2023-07-25,5779,7752.47,Card,Refunded
33,2024-06-09,11272,8947.33,COD,Refunded
34,2024-11-23,11584,3755.95,Bank Transfer,Refunded
35,2024-10-21,17814,6900.97,COD,Failed
36,2023-02-18,336,9612.7,Wallet,Refunded
37,2022-12-16,8225,9092.35,Card,Refunded
38,2025-11-17,17308,1530.71,Bank Transfer,Success
39,2023-08-18,9317,4545.02,Wallet,Failed
40,2024-01-14,2935,7600.14,Wallet,Failed
41,2024-11-21,1376,7562.22,Bank Transfer,Success
42,2023-09-30,1020,5259.28,COD,Refunded
43,2023-09-21,11366,1041.2,Card,Success
44,2024-10-10,1830,7559.22,Card,Failed
45,2024-10-11,590,2880.33,Bank Transfer,Failed
46,2025-11-03,809,2373.82,Wallet,Refunded
47,2024-11-09,8544,4355.53,Wallet,Refunded
48,2022-12-27,11827,6813.4,Wallet,Failed
49,2024-05-20,2155,7286.74,Bank Transfer,Refunded
50,2024-09-11,15957,4639.11,Card,Success
51,2023-07-09,18558,3326.26,COD,Failed
52,2025-09-12,10795,8992.51,Card,Refunded
53,2023-12-21,2736,3344.9,COD,Success
54,2024-02-21,14932,5798.35,Bank Transfer,Success
55,2024-07-19,13997,946.22,Wallet,Refunded
56,2024-07-14,17759,8781.41,Card,Success
57,2023-02-18,15928,6446.6,Card,Failed
58,2025-09-10,6507,6419.46,Card,Success
59,2023-02-20,2079,694.67,COD,Refunded
60,2025-08-05,18748,5047.31,Card,Failed
61,2025-03-06,1914,1135.06,Bank Transfer,Refunded
62,2024-02-19,5781,9942.53,Bank Transfer,Refunded
63,2024-10-04,12439,4404.4,Wallet,Refunded
64,2025-05-07,18400,3512.58,Card,Failed
65,2023-10-02,11734,1879.63,Card,Success
66,2023-02-05,6308,7587.97,COD,Refunded
67,2025-01-02,12855,4511.54,Bank Transfer,Success
68,2025-06-30,6778,4800.43,Bank Transfer,Failed
69,2023-07-30,6319,9535.17,Bank Transfer,Failed
70,2023-03-27,10357,2378.1,Card,Failed
71,2025-01-07,1689,1484.66,Card,Success
72,2024-12-31,16416,3723.04,COD,Failed
73,2023-09-21,9042,499.74,COD,Success
74,2022-12-25,3107,5639.98,COD,Failed
75,2025-07-27,10324,1512.22,COD,Failed
76,2025-10-19,4899,996.25,Bank Transfer,Success
77,2025-06-19,2387,3254.06,COD,Success
78,2023-10-06,14354,87.24,COD,Success
79,2023-10-03,3086,9980.43,Wallet,Success
80,2023-10-01,17991,9328.1,Wallet,Success
81,2025-03-13,12332,2802.73,Card,Failed
82,2023-07-10,7597,5931.55,COD,Success
83,2025-04-01,17788,5833.42,COD,Failed
84,2023-07-13,5407,9450.67,Bank Transfer,Success
85,2025-03-15,14252,6187.26,Bank Transfer,Success
86,2025-10-16,1250,3817.57,COD,Failed
87,2023-05-09,14608,3722.76,Bank Transfer,Success
88,2025-08-02,6454,5693.98,Card,Refunded
89,2023-11-14,3851,937.06,COD,Success
90,2025-11-07,5478,813.05,Bank Transfer,Refunded
91,2024-10-06,7636,9756.0,COD,Failed
