seller_id,join_date,seller_name,city,rating
1,2023-01-07,Seller 1,Multan,3.9
2,2025-09-15,Seller 2,Karachi,3.7
3,2024-04-05,Seller 3,Karachi,3.1
4,2024-01-15,Seller 4,Multan,3.6
5,2023-01-15,Seller 5,Multan,3.3
6,2023-03-27,Seller 6,Lahore,3.7
7,2024-05-20,Seller 7,Islamabad,3.1
8,2025-08-07,Seller 8,Karachi,4.7
9,2025-04-15,Seller 9,Lahore,3.4
10,2024-10-27,Seller 10,Karachi,3.3
11,2025-10-13,Seller 11,Islamabad,3.3
12,2024-04-06,Seller 12,Faisalabad,3.8
13,2023-03-22,Seller 13,Karachi,3.3
14,2024-06-08,Seller 14,Multan,4.2
15,2024-09-12,Seller 15,Lahore,4.8
16,2025-04-25,Seller 16,Islamabad,3.0
17,2023-10-23,Seller 17,Multan,4.0
18,2024-09-30,Seller 18,Lahore,3.7
19,2023-08-24,Seller 19,Islamabad,4.6
20,2024-08-26,Seller 20,Faisalabad,4.8
21,2024-09-21,Seller 21,Lahore,3.2
22,2023-06-25,Seller 22,Karachi,3.8
23,2024-10-31,Seller 23,Faisalabad,4.1
24,2024-01-29,Seller 24,Faisalabad,3.5
25,2024-02-12,Seller 25,Islamabad,3.3
26,2025-09-05,Seller 26,Karachi,4.4
27,2025-09-28,Seller 27,Multan,4.9
28,2025-05-19,Seller 28,Faisalabad,3.6
29,2025-03-11,Seller 29,Faisalabad,3.3
30,2024-10-25,Seller 30,Islamabad,3.9
31,2025-03-23,Seller 31,Islamabad,4.5
32,2024-06-08,Seller 32,Multan,3.8
33,2024-01-18,Seller 33,Karachi,4.3
34,2023-12-12,Seller 34,Faisalabad,3.9
35,2023-04-09,Seller 35,Multan,3.4
36,2023-09-13,Seller 36,Islamabad,3.6
37,2025-11-23,Seller 37,Faisalabad,4.8
38,2024-07-05,Seller 38,Multan,3.7
39,2025-11-07,Seller 39,Karachi,4.4
40,2022-12-21,Seller 40,Multan,4.7
41,2025-02-17,Seller 41,Islamabad,4.2
42,2024-03-13,Seller 42,Faisalabad,4.9
43,2023-12-19,Seller 43,Faisalabad,3.2
44,2023-01-16,Seller 44,Multan,4.4
45,2024-11-11,Seller 45,Multan,4.1
46,2025-01-21,Seller 46,Faisalabad,3.6
47,2024-03-26,Seller 47,Multan,3.7
48,2025-06-14,Seller 48,Islamabad,4.8
49,2025-07-17,Seller 49,Islamabad,3.3
50,2024-03-20,Seller 50,Islamabad,3.3
51,2025-05-01,Seller 51,Islamabad,3.5
52,2025-08-06,Seller 52,Islamabad,4.7
53,2024-01-28,Seller 53,Karachi,4.7
54,2023-05-01,Seller 54,Multan,4.4
55,2024-04-10,Seller 55,Faisalabad,4.0
56,2024-05-17,Seller 56,Faisalabad,3.1
57,2023-03-18,Seller 57,Lahore,3.2
58,2024-11-17,Seller 58,Karachi,3.7
59,2024-04-17,Seller 59,Lahore,3.3
60,2025-04-07,Seller 60,Karachi,3.6
61,2025-08-22,Seller 61,Multan,4.4
62,2024-11-23,Seller 62,Faisalabad,4.5
