shipment_id,shipped_date,order_id,delivered_date,delivery_days,shipment_status
1,2024-03-04,13649,2024-03-07,3,In Transit
2,2023-11-05,2214,2023-11-08,3,Cancelled
3,2023-09-12,5120,2023-09-20,8,Delivered
4,2025-05-17,2614,2025-05-19,2,In Transit
5,2024-08-28,1029,2024-09-04,7,Cancelled
6,2023-06-20,3112,2023-06-23,3,In Transit
7,2024-11-21,95,2024-11-23,2,Cancelled
8,2023-11-08,2292,2023-11-15,7,Delivered
9,2025-02-24,11378,2025-03-03,7,Cancelled
10,2023-04-14,7475,2023-04-21,7,Delivered
11,2024-05-02,7405,2024-05-05,3,In Transit
12,2023-06-11,165,2023-06-14,3,Cancelled
13,2025-04-24,16795,2025-04-25,1,In Transit
14,2023-08-06,27,2023-08-10,4,Cancelled
15,2023-03-23,9930,2023-03-27,4,Delivered
16,2025-10-20,16428,2025-10-29,9,Cancelled
17,2025-03-23,2430,2025-04-01,9,Delivered
18,2023-04-27,4872,2023-04-28,1,Delivered
19,2023-10-02,18295,2023-10-04,2,In Transit
20,2024-03-22,1930,2024-03-24,2,Cancelled
21,2025-09-29,13780,2025-10-02,3,Cancelled
22,2024-12-05,17925,2024-12-10,5,Delivered
23,2025-02-16,6450,2025-02-23,7,Cancelled
24,2023-02-07,7412,2023-02-14,7,Cancelled
25,2024-10-14,18094,2024-10-18,4,Delivered
26,2025-08-10,18400,2025-08-19,9,Delivered
27,2023-08-08,19368,2023-08-16,8,In Transit
28,2024-11-21,57,2024-11-28,7,Cancelled
29,2025-01-12,4208,2025-01-16,4,Delivered
30,2024-06-20,6266,2024-06-26,6,In Transit
31,2023-05-24,10350,2023-05-30,6,Delivered
32,2025-03-03,3694,2025-03-08,5,Delivered
33,2023-03-10,4931,2023-03-13,3,Cancelled
34,2023-06-23,17571,2023-06-30,7,Delivered
35,2024-10-20,4437,2024-10-21,1,Cancelled
36,2024-01-03,134,2024-01-07,4,In Transit
37,2024-02-09,6613,2024-02-10,1,In Transit
38,2023-11-10,11994,2023-11-11,1,Cancelled
39,2023-04-19,11968,2023-04-23,4,Cancelled
40,2024-05-14,16446,2024-05-15,1,Delivered
41,2023-07-27,5231,2023-07-29,2,In Transit
42,2023-01-07,19530,2023-01-10,3,Cancelled
43,2023-12-14,18795,2023-12-15,1,In Transit
44,2025-09-04,10560,2025-09-10,6,Delivered
45,2025-05-18,3706,2025-05-23,5,Cancelled
46,2024-09-15,16930,2024-09-23,8,Cancelled
47,2024-12-08,9771,2024-12-16,8,Cancelled
48,2024-09-18,6897,2024-09-27,9,In Transit
49,2024-05-29,11848,2024-06-03,5,Delivered
50,2025-11-07,6807,2025-11-12,5,In Transit
51,2025-04-28,17431,2025-05-06,8,Delivered
52,2025-08-31,18683,2025-09-08,8,Delivered
53,2025-11-22,3720,2025-12-01,9,In Transit
54,2023-12-16,2312,2023-12-23,7,In Transit
55,2024-08-14,2153,2024-08-21,7,Cancelled
56,2024-08-03,12804,2024-08-10,7,Delivered
