order_item_id,order_id,product_id,quantity,price
1,185983,46322,5,97841.29
2,73508,2586,2,79372.37
3,189861,21108,1,185646.13
4,25341,41815,1,66758.77
5,147593,7793,2,71937.58
6,186468,35604,1,55556.63
7,116941,25813,5,131520.68
8,134052,44140,4,101040.67
9,104741,48483,5,186717.0
10,166131,37377,1,149771.05
11,185729,10992,5,116677.78
12,40617,18120,2,161122.57
13,34533,1587,2,139325.01
14,60696,28425,4,64128.48
15,163578,34903,1,23690.98
16,95614,49727,5,61607.85
17,162829,10424,3,7481.28
18,175997,32123,4,149804.66
19,133806,30371,1,117527.5
20,63027,39137,5,175252.93
21,175130,46186,2,133480.55
22,151191,43057,1,124730.32
23,33617,45308,1,199497.5
24,102163,18579,4,53121.77
25,109494,27917,4,100986.8
26,126907,29533,1,45475.47
27,57127,24797,1,177358.33
28,103684,11480,1,84466.96
29,3047,33406,2,107962.19
30,198281,6257,3,43811.46
31,176620,2788,5,41287.19
32,193281,15806,4,129520.93
33,166994,6826,3,113497.43
34,70845,15518,1,195596.68
35,118577,431,4,136481.8
36,26762,220,4,78484.56
37,35620,31482,1,21349.58
38,95316,47455,2,171437.19
39,27531,18294,3,168786.59
40,81550,29662,1,192263.76
41,15270,45566,2,155489.74
42,119718,34452,5,157592.87
43,171097,2281,2,162149.83
44,122003,18982,3,154837.52
45,17212,40663,1,149499.96
46,86284,43696,5,80952.78
47,80086,14100,2,98465.41
48,184395,29505,4,15979.54
49,50012,27948,3,183239.38
50,169316,47691,4,48082.24
51,92288,11273,4,182436.23
52,5656,48123,4,58332.36
53,183483,7030,3,48869.93
54,178462,31258,5,184264.49
55,62809,33455,4,29558.16
56,114811,49276,3,68749.9
57,140570,37038,4,65645.17
58,63713,46405,5,186626.54
59,169262,24076,2,183412.55
60,155454,41409,2,156127.29
61,137732,19567,2,12714.6
62,55882,28479,5,75684.09
63,30907,13394,5,52136.85
64,115954,1173,2,122583.6
65,169455,11090,1,55067.18
66,69277,29061,1,161475.38
67,134985,49810,5,168663.54
68,8585,23697,4,136376.02
69,193108,49614,2,149626.59
70,110530,24433,5,185530.87
71,14271,26904,4,24339.77
72,9928,33281,3,127463.4
73,22318,23609,1,195628.04
74,188254,47186,1,145343.71
75,10254,27104,3,46711.37
76,99299,7427,2,117056.81
77,114808,7275,3,173571.19
78,195713,16080,1,165399.86
79,188907,14458,1,181060.81
80,53688,22679,2,25579.5
81,184038,39168,3,3817.78
82,97590,39973,2,26566.92
83,59821,44633,3,14128.24
84,40559,24498,5,167066.72
85,21280,4688,5,157363.44
86,55684,30269,4,171144.07
