order_id,customer_id,order_date,payment_method,amount,status
1,61658,2024-08-29,COD,283539.05,Cancelled
2,87308,2024-10-21,BankTransfer,496891.04,Pending
3,14200,2024-06-23,BankTransfer,441906.44,Pending
4,95925,2025-05-18,Wallet,203746.02,Cancelled
5,43052,2024-06-13,BankTransfer,379459.8,Pending
6,9390,2023-02-28,Wallet,132673.63,Returned
7,61195,2024-09-16,COD,25982.32,Cancelled
8,98502,2023-03-16,Wallet,11127.68,Completed
9,9049,2023-09-04,BankTransfer,269494.5,Completed
10,59323,2023-03-17,COD,249883.88,Cancelled
11,31547,2023-06-11,Wallet,75399.71,Pending
12,64418,2025-03-30,BankTransfer,426590.15,Returned
13,53653,2024-01-18,BankTransfer,291479.13,Pending
14,23250,2023-05-02,Card,190793.87,Pending
15,64200,2023-02-01,Wallet,252961.25,Returned
16,91106,2025-07-15,Wallet,48751.12,Returned
17,16180,2025-04-21,Wallet,449941.94,Completed
18,97584,2023-05-17,COD,145308.97,Returned
19,846,2022-12-28,COD,87343.31,Completed
20,39059,2024-11-18,Card,213007.37,Cancelled
21,18132,2023-07-15,Card,140622.58,Cancelled
22,87428,2023-09-19,Card,153856.77,Pending
23,37734,2023-08-05,BankTransfer,412241.97,Completed
24,58912,2024-10-19,BankTransfer,273530.14,Cancelled
25,346,2024-07-16,Card,465888.0,Pending
26,16540,2025-03-06,BankTransfer,475184.53,Cancelled
27,48716,2023-01-09,Card,495774.64,Completed
28,61155,2025-06-30,COD,65807.5,Completed
29,30497,2025-11-09,BankTransfer,448430.76,Completed
30,49256,2025-07-25,BankTransfer,147337.54,Completed
31,45010,2023-10-07,Card,314644.48,Cancelled
32,89397,2023-03-04,Wallet,438921.31,Pending
33,36300,2024-02-23,Card,46483.03,Completed
34,3876,2025-07-03,BankTransfer,75967.69,Pending
35,64025,2023-01-17,BankTransfer,366602.21,Returned
36,57268,2024-01-10,Card,173413.81,Returned
37,7080,2024-11-24,Card,327537.61,Returned
38,12915,2024-05-10,Card,57047.28,Completed
39,98134,2024-09-30,BankTransfer,486200.07,Cancelled
40,39878,2023-06-24,BankTransfer,250651.9,Completed
41,57552,2023-08-13,BankTransfer,435277.73,Cancelled
42,15038,2023-11-24,COD,337495.45,Returned
43,54793,2025-09-13,Card,475871.27,Returned
44,44651,2024-11-11,COD,285271.83,Completed
45,18147,2023-04-23,Card,153227.97,Returned
46,30429,2024-05-20,COD,306778.42,Completed
47,41678,2025-04-11,Card,498442.38,Cancelled
48,44869,2023-02-12,Wallet,407684.49,Pending
49,99733,2024-07-22,COD,227507.61,Returned
50,1823,2024-08-18,BankTransfer,408269.81,Pending
51,71341,2025-01-01,BankTransfer,351430.56,Returned
52,84969,2023-12-08,COD,469363.1,Completed
53,83840,2025-08-07,Card,182429.58,Completed
54,15462,2025-11-22,COD,20240.2,Pending
55,79988,2024-01-18,BankTransfer,43258.45,Cancelled
56,8663,2025-03-20,BankTransfer,383718.64,Returned
57,22184,2025-06-30,BankTransfer,345649.73,Completed
58,71674,2025-07-13,COD,366702.12,Cancelled
59,39110,2023-07-29,COD,333870.9,Returned
60,43212,2023-04-04,Wallet,228581.44,Pending
61,73100,2024-06-21,Card,34090.05,Completed
62,75130,2023-03-01,Wallet,417783.99,Pending
63,96830,2025-06-01,BankTransfer,90433.13,Pending
64,45639,2024-10-12,Wallet,494934.39,Cancelled
65,12892,2024-05-16,BankTransfer,102742.3,Cancelled
66,93575,2025-10-23,Card,41909.49,Cancelled
67,9913,2024-04-23,Wallet,187809.2,Cancelled
68,14904,2025-06-03,BankTransfer,162755.75,Completed
69,98883,2024-07-23,Wallet,488314.68,Completed
70,70541,2023-04-20,COD,197310.89,Completed
71,68137,2025-09-21,COD,23351.49,Cancelled
72,14283,2025-03-05,Card,493546.22,Pending
73,41703,2024-07-14,Card,393246.17,Completed
74,22167,2025-10-23,Wallet,498971.58,Cancelled
75,12097,2023-08-01,Card,158802.99,Completed
76,16098,2025-10-24,Card,58913.19,Completed
77,45983,2023-06-16,COD,198877.01,Returned
78,96865,2024-11-03,Wallet,70015.83,Completed
79,2031,2024-09-26,COD,73464.45,Cancelled
80,5860,2023-01-15,COD,451341.04,Completed
81,85028,2025-09-15,COD,496952.29,Returned
82,72718,2023-10-20,Wallet,497213.6,Pending
83,94373,2023-03-29,Wallet,219254.71,Completed
84,78752,2024-03-11,Wallet,119684.05,Cancelled
85,51381,2023-07-29,COD,86058.58,Cancelled
86,78127,2024-07-16,Card,191085.69,Completed
87,47350,2022-12-25,Wallet,299492.48,Completed
88,21408,2024-12-05,Card,371807.07,Pending
89,76184,2024-05-31,COD,258205.64,Pending
90,86030,2024-09-07,BankTransfer,421377.8,Pending
91,2127,2023-05-09,Wallet,459837.39,Returned
92,20340,2023-05-09,Card,442838.86,Cancelled
93,5084,2025-02-27,Wallet,184634.38,Completed
94,16249,2023-12-23,COD,475276.02,Completed
95,31546,2024-10-28,Wallet,461540.21,Completed
96,6610,2023-08-28,COD,205857.01,Returned
97,40447,2023-07-17,BankTransfer,210683.59,Cancelled
98,43503,2025-08-16,COD,39067.14,Pending
99,11379,2023-07-09,BankTransfer,468500.41,Returned
100,27200,2024-11-09,BankTransfer,44275.56,Returned
101,27922,2024-06-04,BankTransfer,245596.56,Cancelled
102,13618,2024-06-13,Card,360721.16,Cancelled
103,25179,2024-05-08,COD,439838.12,Completed
104,51984,2025-08-29,BankTransfer,285521.42,Cancelled
105,29070,2025-08-15,COD,341305.07,Pending
106,79806,2025-12-01,Wallet,355079.63,Completed
107,69198,2025-01-30,COD,8034.67,Completed
108,62189,2023-06-30,COD,471245.81,Returned
109,11576,2023-09-14,COD,179992.82,Returned
110,69646,2024-06-09,COD,88802.09,Returned
111,43117,2025-07-04,Card,236694.76,Completed
112,44870,2025-04-05,BankTransfer,366755.97,Pending
113,26982,2023-01-25,BankTransfer,413678.25,Returned
114,45531,2024-10-22,BankTransfer,359819.67,Returned
115,99403,2024-03-27,Wallet,200098.1,Returned
116,34719,2025-05-20,Wallet,340790.76,Cancelled
117,52977,2023-04-29,COD,215965.07,Completed
118,43513,2022-12-09,Card,493434.05,Cancelled
119,19267,2025-09-22,Card,498232.68,Completed
120,62337,2024-05-24,COD,124934.73,Pending
121,38992,2023-11-18,COD,241689.74,Cancelled
122,2011,2025-02-02,BankTransfer,288279.51,Returned
123,494,2024-04-20,Wallet,318137.91,Cancelled
124,90034,2024-08-13,Wallet,216989.34,Cancelled
125,51004,2023-05-07,Wallet,262170.86,Pending
126,70915,2025-01-03,Wallet,277154.98,Returned
127,47730,2024-08-11,COD,194004.76,Returned
128,4944,2024-02-12,COD,160254.34,Pending
129,10351,2024-12-01,Wallet,317327.95,Returned
130,46902,2025-11-27,BankTransfer,221047.92,Pending
131,98304,2024-10-12,BankTransfer,486076.33,Pending
132,86557,2024-04-28,BankTransfer,187876.04,Returned
133,64272,2025-05-04,Wallet,97961.6,Completed
134,56541,2023-06-22,BankTransfer,213347.03,Cancelled
135,86762,2024-09-26,COD,328479.82,Pending
136,60731,2023-03-30,Wallet,220930.85,Completed
137,25995,2025-11-06,BankTransfer,142877.65,Cancelled
138,93939,2025-09-23,COD,247641.94,Returned
139,13792,2025-11-23,Wallet,223526.31,Completed
140,13336,2025-04-20,COD,472071.77,Pending
141,28499,2025-02-17,BankTransfer,9497.32,Completed
142,5792,2023-06-22,Card,197507.14,Cancelled
143,27466,2025-01-21,BankTransfer,170527.61,Pending
144,24817,2024-01-23,COD,111761.94,Pending
145,13664,2024-03-29,Card,273145.13,Completed
146,76631,2023-07-07,Card,307049.59,Returned
147,2401,2025-05-03,Wallet,5152.66,Cancelled
148,89438,2024-03-01,Card,338096.04,Pending
149,57438,2023-06-13,Wallet,191364.49,Completed
150,91856,2025-03-15,Card,461517.22,Returned
151,20395,2023-12-26,Card,371770.04,Cancelled
152,86069,2024-08-02,Wallet,256928.05,Pending
153,12658,2023-03-02,COD,475755.18,Pending
154,36737,2024-08-27,Wallet,343717.75,Completed
155,15454,2025-03-01,Card,404041.32,Returned
156,35446,2025-11-25,BankTransfer,478184.79,Completed
157,60706,2024-06-13,Wallet,445174.69,Returned
158,63293,2023-12-07,Wallet,35382.7,Returned
159,84326,2025-07-04,Card,105148.42,Cancelled
160,10301,2023-12-10,Card,314807.15,Completed
161,24031,2023-10-29,BankTransfer,80500.4,Pending
162,17660,2025-02-22,Card,232399.89,Pending
163,62006,2022-12-11,Wallet,240114.75,Cancelled
164,99446,2024-11-27,Wallet,231571.13,Returned
165,31837,2023-09-28,Wallet,411259.83,Cancelled
166,34335,2024-05-08,COD,244748.24,Cancelled
167,39066,2024-03-11,Wallet,434359.6,Completed
168,27103,2024-02-17,COD,386801.44,Returned
169,89535,2024-02-06,Card,321243.86,Pending
170,41876,2025-11-14,COD,289020.47,Completed
171,94486,2025-06-29,Wallet,116156.65,Pending
172,54585,2023-12-30,Card,384042.69,Cancelled
173,4537,2024-12-14,COD,402231.75,Returned
174,31336,2025-07-26,Card,244719.19,Pending
175,21658,2025-12-01,Card,110227.21,Pending
176,71525,2023-04-15,COD,380064.22,Cancelled
177,55451,2023-11-10,Card,400074.32,Returned
178,65080,2024-05-13,Card,283583.03,Cancelled
179,91928,2025-07-31,Wallet,348594.47,Pending
180,42762,2023-05-30,BankTransfer,386846.66,Completed
181,92964,2025-07-09,BankTransfer,145825.2,Returned
182,93930,2023-10-02,Card,141396.3,Returned
183,85714,2024-12-22,COD,354009.43,Returned
184,67197,2025-05-02,BankTransfer,256228.3,Cancelled
185,79249,2025-06-12,COD,256183.98,Cancelled
186,38862,2025-09-30,BankTransfer,479362.27,Completed
187,22842,2025-10-18,Wallet,399682.03,Completed
188,83539,2025-11-28,Wallet,128054.07,Completed
189,49746,2023-10-28,COD,203218.26,Completed
190,67607,2024-06-27,COD,415020.13,Returned
191,98952,2025-11-06,Wallet,36655.81,Cancelled
192,66866,2023-12-12,COD,160555.89,Returned
193,47705,2025-07-19,Card,169888.8,Completed
194,22315,2024-01-15,Wallet,195154.59,Completed
195,97632,2023-01-31,Wallet,129605.53,Completed
196,58225,2024-12-17,Wallet,320967.68,Returned
197,39794,2025-10-30,Wallet,197557.11,Returned
198,1235,2024-01-22,Card,271150.08,Pending
199,58962,2023-06-28,Wallet,136332.66,Cancelled
200,26720,2025-07-14,Wallet,430662.88,Cancelled
201,87598,2025-01-23,COD,102925.6,Completed
202,50609,2025-06-14,Wallet,438664.32,Cancelled
203,38248,2024-06-09,BankTransfer,89586.32,Completed
