product_id,title,category,brand,price,created_at
1,Model Foot,Home,Kim-Graham,76319.14,2022-02-18
2,Cell Risk,Beauty,Haley-Nguyen,71265.58,2025-07-09
3,Accept Now,Grocery,Irwin-Davis,74498.95,2021-01-27
4,Citizen Reason,Beauty,Parrish-Ortiz,63689.4,2024-03-18
5,From A,Beauty,Taylor-Knight,124245.62,2020-04-30
6,Option Up,Fashion,Sanford and Sons,32894.52,2024-08-30
7,Finally Expect,Grocery,"Boone, Mcdonald and Sexton",169203.96,2025-08-10
8,System Think,Grocery,Melton-Thompson,162489.88,2023-04-05
9,Prevent Friend,Grocery,"Harris, Hunter and Cisneros",95322.82,2023-10-06
10,Defense Worker,Beauty,Hernandez-Griffin,170553.36,2022-03-28
11,Voice Number,Home,Johnson-Robinson,49466.66,2024-09-07
12,Likely Response,Grocery,Trujillo Group,3562.21,2022-02-10
13,Any Minute,Sports,Hernandez LLC,123860.62,2022-02-15
14,Now Name,Beauty,Rocha-Huff,91608.99,2022-10-24
15,Some Edge,Fashion,Williams Ltd,113454.55,2020-07-02
16,Material As,Home,"Martinez, Nash and Smith",179872.91,2023-09-17
17,Participant Suddenly,Sports,Mcbride LLC,193986.62,2022-01-03
18,Race Face,Sports,"Chavez, Goodwin and Castaneda",126908.91,2022-12-06
19,Performance Someone,Fashion,"Leonard, Brown and Lin",152822.92,2021-12-29
20,One Add,Home,Silva PLC,16807.5,2025-05-18
21,Film Force,Beauty,Winters Inc,32185.08,2022-06-03
22,Activity Financial,Electronics,Frank Inc,146654.3,2024-09-12
23,Account People,Home,Brown-Lane,86301.52,2025-10-29
24,Push Place,Fashion,"Moran, Moore and Hanna",89220.76,2022-02-04
25,Song Mention,Sports,"Johnson, Warren and Freeman",61756.11,2021-10-09
26,Black Suffer,Beauty,"Robertson, Weaver and Adams",121490.91,2024-10-04
27,Song Onto,Home,Richardson PLC,37073.75,2025-02-13
28,Under Fight,Electronics,Ellis LLC,125401.91,2021-04-06
29,Serve Rise,Electronics,Green-Russell,34801.08,2022-06-21
30,Executive Better,Grocery,Wagner-Jones,12812.02,2021-06-02
